,time,ll,n_component,DB,method
5,85.5120496749878,-4.970225496294415,14.0,CBMC_8k,CITE-sort
6,84.42366147041321,-4.970225496294415,14.0,CBMC_8k,CITE-sort
7,83.03945541381836,-4.970225496294415,14.0,CBMC_8k,CITE-sort
8,84.73048639297485,-4.970225496294415,14.0,CBMC_8k,CITE-sort
9,89.86754655838013,-4.774042780518445,16.0,CBMC_8k,CITE-sort
0,60.67326259613037,-5.338610559049961,14.0,CBMC_8k,GMM
1,62.55017423629761,-5.327642232587172,14.0,CBMC_8k,GMM
2,59.244077920913696,-5.221029908669777,16.0,CBMC_8k,GMM
3,61.91255235671997,-5.19289199869492,17.0,CBMC_8k,GMM
4,59.807756185531616,-5.378078059387416,14.0,CBMC_8k,GMM
5,62.438249826431274,-5.324600227554156,15.0,CBMC_8k,GMM
6,59.465951919555664,-5.257326024047886,16.0,CBMC_8k,GMM
7,62.204383850097656,-5.384429447050616,13.0,CBMC_8k,GMM
8,59.13414263725281,-5.303643582809363,15.0,CBMC_8k,GMM
9,58.410555601119995,-5.359907671418008,14.0,CBMC_8k,GMM
0,0.4987154006958008,-5.318481191595465,14.0,CBMC_8k,GMM_fixk
1,0.780552864074707,-5.28135052374074,15.0,CBMC_8k,GMM_fixk
2,0.41576290130615234,-5.384607513553807,14.0,CBMC_8k,GMM_fixk
3,0.40477871894836426,-5.376723987110303,14.0,CBMC_8k,GMM_fixk
4,0.44574522972106934,-5.308714250487742,15.0,CBMC_8k,GMM_fixk
5,0.30182743072509766,-5.3898127309971,14.0,CBMC_8k,GMM_fixk
6,0.560678243637085,-5.353808478549749,14.0,CBMC_8k,GMM_fixk
7,0.5047101974487305,-5.346889684520823,14.0,CBMC_8k,GMM_fixk
8,0.4087657928466797,-5.338011181859372,14.0,CBMC_8k,GMM_fixk
9,0.5027120113372803,-5.248688020174258,16.0,CBMC_8k,GMM_fixk
0,24.397029638290405,-6.2279743860146715,50.0,CBMC_8k,nGMM
1,24.86376404762268,-6.286328829454328,49.0,CBMC_8k,nGMM
2,24.761822938919067,-6.304667013372216,49.0,CBMC_8k,nGMM
3,26.78266477584839,-6.293575089003526,50.0,CBMC_8k,nGMM
4,25.76124930381775,-6.32647488892547,47.0,CBMC_8k,nGMM
5,24.554939031600952,-6.229492287427068,50.0,CBMC_8k,nGMM
6,23.87632966041565,-6.279360804260311,50.0,CBMC_8k,nGMM
7,23.980270862579346,-6.328715170276957,48.0,CBMC_8k,nGMM
8,26.58477783203125,-6.257984565811174,50.0,CBMC_8k,nGMM
9,25.429440021514893,-6.270241702230268,49.0,CBMC_8k,nGMM
0,0.11693239212036133,-8.38443259883629,14.0,CBMC_8k,nGMM_fixk
1,0.11793279647827148,-8.39593961250455,15.0,CBMC_8k,nGMM_fixk
2,0.08295154571533203,-8.38986093480687,14.0,CBMC_8k,nGMM_fixk
3,0.12292909622192383,-8.482321174496342,14.0,CBMC_8k,nGMM_fixk
4,0.16690397262573242,-8.222030381194092,15.0,CBMC_8k,nGMM_fixk
5,0.10094189643859863,-8.373626097978223,14.0,CBMC_8k,nGMM_fixk
6,0.08994841575622559,-8.400707110006236,14.0,CBMC_8k,nGMM_fixk
7,0.10893726348876953,-8.369739140656122,14.0,CBMC_8k,nGMM_fixk
8,0.12592792510986328,-8.583404484295043,14.0,CBMC_8k,nGMM_fixk
9,0.24486041069030762,-8.17223767640293,16.0,CBMC_8k,nGMM_fixk
0,26.914589881896973,-4.837041146685309,50.0,CBMC_8k,dpgmm
1,17.987701177597046,-4.825254321767748,50.0,CBMC_8k,dpgmm
2,30.537515878677368,-4.812883948532638,50.0,CBMC_8k,dpgmm
3,16.31166124343872,-4.8260832952804265,50.0,CBMC_8k,dpgmm
4,19.667738914489746,-4.827847765340304,50.0,CBMC_8k,dpgmm
5,14.024969577789307,-4.818149091948307,50.0,CBMC_8k,dpgmm
6,21.808513402938843,-4.827393844981892,50.0,CBMC_8k,dpgmm
7,21.315794706344604,-4.826081350901387,50.0,CBMC_8k,dpgmm
8,34.81006860733032,-4.827883090808033,50.0,CBMC_8k,dpgmm
9,34.777087926864624,-4.800197197416694,50.0,CBMC_8k,dpgmm
0,131.48872256278992,-4.824296845335957,25.0,PBMC_16k,CITE-sort
1,134.248144865036,-5.170327640657248,23.0,PBMC_16k,CITE-sort
2,153.29023241996765,-4.622667569567744,27.0,PBMC_16k,CITE-sort
3,148.85877871513367,-4.714098794409115,25.0,PBMC_16k,CITE-sort
4,138.88249158859253,-5.248031352743899,21.0,PBMC_16k,CITE-sort
5,151.88603711128235,-4.628945027215183,28.0,PBMC_16k,CITE-sort
6,155.8997368812561,-4.601722116091284,28.0,PBMC_16k,CITE-sort
7,139.5650990009308,-4.810842836864783,25.0,PBMC_16k,CITE-sort
8,138.50376057624817,-4.8428604057279685,25.0,PBMC_16k,CITE-sort
9,153.2203996181488,-4.5555910214670465,28.0,PBMC_16k,CITE-sort
0,151.23140001296997,-6.151465680535652,26.0,PBMC_16k,GMM
1,142.63832092285156,-6.177100083396359,25.0,PBMC_16k,GMM
2,138.85249733924866,-6.231229949495253,22.0,PBMC_16k,GMM
3,144.43529105186462,-6.21842403857333,22.0,PBMC_16k,GMM
4,146.25425124168396,-6.271936250794268,21.0,PBMC_16k,GMM
5,152.47869396209717,-6.185376585620828,25.0,PBMC_16k,GMM
6,146.16531109809875,-6.2142301946581515,23.0,PBMC_16k,GMM
7,146.71299743652344,-6.292184652989888,20.0,PBMC_16k,GMM
8,149.17957639694214,-6.217817180692061,23.0,PBMC_16k,GMM
9,153.0943329334259,-6.2561118327358685,22.0,PBMC_16k,GMM
0,3.302109956741333,-6.167149522908562,25.0,PBMC_16k,GMM_fixk
1,2.8083910942077637,-6.227611206044761,23.0,PBMC_16k,GMM_fixk
2,3.3340916633605957,-6.130149880123634,27.0,PBMC_16k,GMM_fixk
3,2.936318874359131,-6.170888958309285,25.0,PBMC_16k,GMM_fixk
4,2.600506067276001,-6.253061840300715,21.0,PBMC_16k,GMM_fixk
5,4.07366681098938,-6.1187655429051775,28.0,PBMC_16k,GMM_fixk
6,3.296112537384033,-6.139985798808145,28.0,PBMC_16k,GMM_fixk
7,2.9353177547454834,-6.185204323654343,25.0,PBMC_16k,GMM_fixk
8,2.7274365425109863,-6.168232315138406,25.0,PBMC_16k,GMM_fixk
9,3.511990785598755,-6.123503587453922,28.0,PBMC_16k,GMM_fixk
0,38.71083426475525,-6.379849891641167,48.0,PBMC_16k,nGMM
1,38.449986696243286,-6.376821446147685,49.0,PBMC_16k,nGMM
2,38.604896068573,-6.40737439570078,48.0,PBMC_16k,nGMM
3,38.98268151283264,-6.352696487397852,49.0,PBMC_16k,nGMM
4,38.36903095245361,-6.3716690156441835,50.0,PBMC_16k,nGMM
5,38.76480484008789,-6.364510993512695,50.0,PBMC_16k,nGMM
6,39.50738000869751,-6.354521920871351,49.0,PBMC_16k,nGMM
7,38.842759132385254,-6.369662674404592,48.0,PBMC_16k,nGMM
8,38.83576488494873,-6.423211994218609,45.0,PBMC_16k,nGMM
9,38.5829074382782,-6.3840953086766286,47.0,PBMC_16k,nGMM
0,0.6576240062713623,-6.785083664655333,25.0,PBMC_16k,nGMM_fixk
1,0.5037086009979248,-6.8704074699934905,23.0,PBMC_16k,nGMM_fixk
2,0.6106505393981934,-6.7397046065996005,27.0,PBMC_16k,nGMM_fixk
3,0.9654474258422852,-6.769382740398923,25.0,PBMC_16k,nGMM_fixk
4,0.4957153797149658,-6.941616866643075,21.0,PBMC_16k,nGMM_fixk
5,0.8255264759063721,-6.7202072370311505,28.0,PBMC_16k,nGMM_fixk
6,0.8914902210235596,-6.734181354395366,28.0,PBMC_16k,nGMM_fixk
7,0.6896049976348877,-6.8174893307630136,25.0,PBMC_16k,nGMM_fixk
8,0.8914885520935059,-6.800764054821048,25.0,PBMC_16k,nGMM_fixk
9,0.7515683174133301,-6.703480739455203,28.0,PBMC_16k,nGMM_fixk
0,108.17206335067749,-6.048718855431777,50.0,PBMC_16k,dpgmm
1,109.62023544311523,-6.047686785818196,50.0,PBMC_16k,dpgmm
2,85.39810633659363,-6.048645567224814,50.0,PBMC_16k,dpgmm
3,80.45993161201477,-6.049458774154263,50.0,PBMC_16k,dpgmm
4,63.30175542831421,-6.049415431938901,50.0,PBMC_16k,dpgmm
5,86.23262572288513,-6.037890865010017,50.0,PBMC_16k,dpgmm
6,98.0288712978363,-6.051989896080837,50.0,PBMC_16k,dpgmm
7,94.77173709869385,-6.053023460720795,50.0,PBMC_16k,dpgmm
8,59.19510841369629,-6.0452716926611085,50.0,PBMC_16k,dpgmm
9,78.02951526641846,-6.039499627171305,50.0,PBMC_16k,dpgmm
