,time,ll,n_component,DB,method
2,1.7729849815368652,-16.82115726746788,18.0,PBMC_1k,nGMM
3,1.7459995746612549,-16.76203681311147,19.0,PBMC_1k,nGMM
4,1.9488842487335205,-17.389385051589162,15.0,PBMC_1k,nGMM
5,1.8409459590911865,-16.74670537154237,21.0,PBMC_1k,nGMM
6,1.8669307231903076,-16.147770612554257,24.0,PBMC_1k,nGMM
7,1.8069655895233154,-16.94872309211664,18.0,PBMC_1k,nGMM
8,1.8809239864349365,-17.244953751785008,17.0,PBMC_1k,nGMM
9,1.9099071025848389,-16.986451147967987,17.0,PBMC_1k,nGMM
0,0.0159912109375,-18.676332923006573,10.0,PBMC_1k,nGMM_fixk
1,0.016989946365356445,-18.419379500351987,11.0,PBMC_1k,nGMM_fixk
2,0.01699066162109375,-18.6721788347362,10.0,PBMC_1k,nGMM_fixk
3,0.01899862289428711,-18.937733836680852,10.0,PBMC_1k,nGMM_fixk
4,0.0199892520904541,-19.050810720422405,9.0,PBMC_1k,nGMM_fixk
5,0.01898956298828125,-18.78758349587411,10.0,PBMC_1k,nGMM_fixk
6,0.01299285888671875,-19.648878098092986,9.0,PBMC_1k,nGMM_fixk
7,0.014991521835327148,-18.680480444565013,10.0,PBMC_1k,nGMM_fixk
8,0.013991594314575195,-18.70135380257122,10.0,PBMC_1k,nGMM_fixk
9,0.008994340896606445,-19.010671457346113,9.0,PBMC_1k,nGMM_fixk
0,0.5646781921386719,-13.607799761585456,50.0,PBMC_1k,dpgmm
1,0.3867809772491455,-13.640822625981155,50.0,PBMC_1k,dpgmm
2,0.30382585525512695,-13.563951990951315,50.0,PBMC_1k,dpgmm
3,0.34279322624206543,-13.69329328968205,50.0,PBMC_1k,dpgmm
4,0.43774843215942383,-13.459885318638806,50.0,PBMC_1k,dpgmm
5,0.21987438201904297,-13.675988952177404,50.0,PBMC_1k,dpgmm
6,0.5296964645385742,-13.716782354231182,50.0,PBMC_1k,dpgmm
7,0.14991450309753418,-13.616409725572016,50.0,PBMC_1k,dpgmm
8,0.2648475170135498,-13.520443398422579,50.0,PBMC_1k,dpgmm
9,0.33780574798583984,-13.558766483095482,50.0,PBMC_1k,dpgmm
0,10.114209651947021,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
1,9.929314374923706,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
2,9.921319484710693,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
3,9.674460411071777,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
4,9.697448492050171,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
5,9.811382293701172,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
6,9.994277238845825,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
7,9.762410879135132,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
8,9.930314302444458,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
9,9.905328750610352,-3.8899679024823515,8.0,PBMC_1k_b,CITE-sort
0,17.497982263565063,-3.857410803360695,10.0,PBMC_1k_b,GMM
1,18.163599729537964,-4.078737114779303,9.0,PBMC_1k_b,GMM
2,16.286674976348877,-5.057414356410817,7.0,PBMC_1k_b,GMM
3,17.917723417282104,-4.432242063109768,8.0,PBMC_1k_b,GMM
4,17.478991985321045,-4.033576647238859,9.0,PBMC_1k_b,GMM
5,18.270538568496704,-4.514995141086516,7.0,PBMC_1k_b,GMM
6,17.49598240852356,-5.035745244930868,7.0,PBMC_1k_b,GMM
7,16.475565433502197,-4.111351115530821,9.0,PBMC_1k_b,GMM
8,18.53538727760315,-3.9977804567218325,9.0,PBMC_1k_b,GMM
9,17.7558331489563,-3.786756768717093,12.0,PBMC_1k_b,GMM
0,0.048970699310302734,-4.249406391322957,8.0,PBMC_1k_b,GMM_fixk
1,0.0299832820892334,-4.278763405710032,8.0,PBMC_1k_b,GMM_fixk
2,0.04897260665893555,-4.197110693176923,8.0,PBMC_1k_b,GMM_fixk
3,0.051970720291137695,-4.130739821809692,8.0,PBMC_1k_b,GMM_fixk
4,0.04897260665893555,-4.286676718538526,8.0,PBMC_1k_b,GMM_fixk
5,0.0279843807220459,-4.246833006190683,8.0,PBMC_1k_b,GMM_fixk
6,0.0459747314453125,-4.250855964037708,8.0,PBMC_1k_b,GMM_fixk
7,0.027984619140625,-4.345332236195747,8.0,PBMC_1k_b,GMM_fixk
8,0.03697919845581055,-4.256822206604944,8.0,PBMC_1k_b,GMM_fixk
9,0.03597855567932129,-4.899120027881217,8.0,PBMC_1k_b,GMM_fixk
0,3.9977121353149414,-4.459123535455444,33.0,PBMC_1k_b,nGMM
1,3.716872215270996,-5.009960395234014,24.0,PBMC_1k_b,nGMM
2,3.637917995452881,-4.437605804271244,30.0,PBMC_1k_b,nGMM
3,3.8797781467437744,-4.61302649284386,27.0,PBMC_1k_b,nGMM
4,4.056677341461182,-4.299643428195814,32.0,PBMC_1k_b,nGMM
5,3.7988243103027344,-4.600914628653415,27.0,PBMC_1k_b,nGMM
6,3.7018799781799316,-4.617832642909012,29.0,PBMC_1k_b,nGMM
7,3.8947696685791016,-4.465719923331148,30.0,PBMC_1k_b,nGMM
8,3.5669586658477783,-4.668268214854305,27.0,PBMC_1k_b,nGMM
9,3.653907299041748,-4.329243028727759,33.0,PBMC_1k_b,nGMM
0,0.0239865779876709,-6.85627287191229,8.0,PBMC_1k_b,nGMM_fixk
1,0.01898932456970215,-6.858093580112152,8.0,PBMC_1k_b,nGMM_fixk
2,0.02398538589477539,-6.858015886140156,8.0,PBMC_1k_b,nGMM_fixk
3,0.018988847732543945,-6.858142104920901,8.0,PBMC_1k_b,nGMM_fixk
4,0.024985551834106445,-6.856269306800974,8.0,PBMC_1k_b,nGMM_fixk
5,0.02298712730407715,-6.788174348841982,8.0,PBMC_1k_b,nGMM_fixk
6,0.02398681640625,-6.856261942823088,8.0,PBMC_1k_b,nGMM_fixk
7,0.012992620468139648,-6.653478604934252,8.0,PBMC_1k_b,nGMM_fixk
8,0.027983427047729492,-6.858467841012181,8.0,PBMC_1k_b,nGMM_fixk
9,0.01898980140686035,-6.858474157989434,8.0,PBMC_1k_b,nGMM_fixk
0,1.0374045372009277,-4.032790733087652,50.0,PBMC_1k_b,dpgmm
1,1.1683309078216553,-3.995996423147343,50.0,PBMC_1k_b,dpgmm
2,0.9604494571685791,-4.014887756711081,50.0,PBMC_1k_b,dpgmm
3,1.4381763935089111,-3.996255332722274,50.0,PBMC_1k_b,dpgmm
4,0.8465161323547363,-4.041724312614789,50.0,PBMC_1k_b,dpgmm
5,1.267275333404541,-3.996727813434055,50.0,PBMC_1k_b,dpgmm
6,0.6995992660522461,-4.007786680958331,50.0,PBMC_1k_b,dpgmm
7,0.7925460338592529,-4.049556668208995,50.0,PBMC_1k_b,dpgmm
8,1.1173601150512695,-4.00238851229009,50.0,PBMC_1k_b,dpgmm
9,0.8585078716278076,-4.02573409179672,50.0,PBMC_1k_b,dpgmm
0,19.135042667388916,-3.039977922112491,13.0,PBMC_2k,CITE-sort
1,17.3620707988739,-3.838225569154643,13.0,PBMC_2k,CITE-sort
2,19.087072610855103,-3.3607753391316337,12.0,PBMC_2k,CITE-sort
3,18.724289417266846,-3.356040836253083,12.0,PBMC_2k,CITE-sort
4,18.1196346282959,-3.349418687088477,12.0,PBMC_2k,CITE-sort
5,18.74930214881897,-3.193732731984007,13.0,PBMC_2k,CITE-sort
6,16.743402242660522,-4.008552378859202,12.0,PBMC_2k,CITE-sort
7,18.80124521255493,-3.184140139622323,13.0,PBMC_2k,CITE-sort
8,19.01911997795105,-3.3504575966091403,12.0,PBMC_2k,CITE-sort
9,19.966576099395752,-3.1847493044634674,13.0,PBMC_2k,CITE-sort
0,22.255257844924927,-4.305043135400915,11.0,PBMC_2k,GMM
1,20.33034920692444,-4.304050243172198,11.0,PBMC_2k,GMM
2,20.554229974746704,-4.533803215260254,9.0,PBMC_2k,GMM
3,22.419154405593872,-4.42924593580085,11.0,PBMC_2k,GMM
4,21.91244387626648,-4.9055623093266565,7.0,PBMC_2k,GMM
5,21.474693298339844,-4.38432892944463,11.0,PBMC_2k,GMM
6,22.620038270950317,-4.254110055313111,11.0,PBMC_2k,GMM
7,21.389756202697754,-4.388461844683266,10.0,PBMC_2k,GMM
8,22.062358617782593,-4.534595518289228,10.0,PBMC_2k,GMM
9,20.67216420173645,-4.196493224579602,11.0,PBMC_2k,GMM
0,0.06296348571777344,-4.183532801379574,13.0,PBMC_2k,GMM_fixk
1,0.09994292259216309,-4.017509471280552,13.0,PBMC_2k,GMM_fixk
2,0.09394574165344238,-4.31464758998454,12.0,PBMC_2k,GMM_fixk
3,0.09194636344909668,-4.13375789931093,12.0,PBMC_2k,GMM_fixk
4,0.17489886283874512,-4.141008950409885,12.0,PBMC_2k,GMM_fixk
5,0.06496405601501465,-4.071073186506558,13.0,PBMC_2k,GMM_fixk
6,0.08295249938964844,-4.157396516272058,12.0,PBMC_2k,GMM_fixk
7,0.09694290161132812,-4.306028816385136,13.0,PBMC_2k,GMM_fixk
8,0.11393475532531738,-4.153402297840144,12.0,PBMC_2k,GMM_fixk
9,0.11994051933288574,-4.159316942750561,13.0,PBMC_2k,GMM_fixk
0,4.954163312911987,-4.56337892325203,30.0,PBMC_2k,nGMM
1,4.922183036804199,-4.277406133166951,36.0,PBMC_2k,nGMM
2,4.849223375320435,-4.564568888372911,31.0,PBMC_2k,nGMM
3,4.615357398986816,-4.509464553316169,31.0,PBMC_2k,nGMM
4,4.847224473953247,-4.45675264736644,30.0,PBMC_2k,nGMM
5,4.723294734954834,-4.348757776747538,33.0,PBMC_2k,nGMM
6,4.740287780761719,-4.664607870752208,27.0,PBMC_2k,nGMM
7,4.55738091468811,-4.5980796898912475,31.0,PBMC_2k,nGMM
8,5.003134250640869,-4.2928258594938535,34.0,PBMC_2k,nGMM
9,4.799241542816162,-4.440630441784365,36.0,PBMC_2k,nGMM
0,0.03497719764709473,-5.9833291676446265,13.0,PBMC_2k,nGMM_fixk
1,0.02698540687561035,-6.003957870476196,13.0,PBMC_2k,nGMM_fixk
2,0.027983665466308594,-6.093630484174055,12.0,PBMC_2k,nGMM_fixk
3,0.03298163414001465,-6.004338077354764,12.0,PBMC_2k,nGMM_fixk
4,0.02498626708984375,-6.147670550662348,12.0,PBMC_2k,nGMM_fixk
5,0.06996989250183105,-5.7699411467960475,13.0,PBMC_2k,nGMM_fixk
6,0.034979820251464844,-6.0118061485416225,12.0,PBMC_2k,nGMM_fixk
7,0.021988630294799805,-6.014065281933787,13.0,PBMC_2k,nGMM_fixk
8,0.02298712730407715,-6.080352334919585,12.0,PBMC_2k,nGMM_fixk
9,0.027984619140625,-5.829470008860642,13.0,PBMC_2k,nGMM_fixk
0,0.7405760288238525,-4.154761130337304,50.0,PBMC_2k,dpgmm
1,0.6976006031036377,-4.095399727089786,50.0,PBMC_2k,dpgmm
2,0.722585916519165,-4.100913209694664,50.0,PBMC_2k,dpgmm
3,0.7875497341156006,-4.158746515696291,50.0,PBMC_2k,dpgmm
4,1.0024268627166748,-4.115404945244016,50.0,PBMC_2k,dpgmm
5,0.8954741954803467,-4.119898009291454,50.0,PBMC_2k,dpgmm
6,1.0593931674957275,-4.104017128919311,50.0,PBMC_2k,dpgmm
7,1.5970842838287354,-4.0937771166383365,50.0,PBMC_2k,dpgmm
8,0.5696749687194824,-4.096304595974938,50.0,PBMC_2k,dpgmm
9,0.6646206378936768,-4.11045295307734,50.0,PBMC_2k,dpgmm
0,114.97818398475647,-18.507600707601924,30.0,PBMC_5k,CITE-sort
1,112.17079138755798,-20.140833521518715,24.0,PBMC_5k,CITE-sort
2,118.43320631980896,-20.1687032085678,25.0,PBMC_5k,CITE-sort
3,108.78671073913574,-19.60266635400196,27.0,PBMC_5k,CITE-sort
4,112.15385246276855,-19.91097177461177,26.0,PBMC_5k,CITE-sort
5,104.8159863948822,-20.579059335247663,25.0,PBMC_5k,CITE-sort
6,129.31895780563354,-18.047981442496756,33.0,PBMC_5k,CITE-sort
7,121.13580322265625,-18.7037400372988,29.0,PBMC_5k,CITE-sort
8,110.68664026260376,-20.892593978353037,22.0,PBMC_5k,CITE-sort
9,109.54827690124512,-20.383111524145896,26.0,PBMC_5k,CITE-sort
0,211.32600045204163,-23.454350630966285,10.0,PBMC_5k,GMM
1,210.00974488258362,-23.054916710314494,10.0,PBMC_5k,GMM
2,215.26674675941467,-23.572181097836197,9.0,PBMC_5k,GMM
3,194.1368443965912,-24.363631408785547,9.0,PBMC_5k,GMM
4,212.23347163200378,-24.327461240101023,7.0,PBMC_5k,GMM
