,time,ll,bic,n_component,DB,method
6,2.152177095413208,-8.614111537042746,182822.8978000642,58.0,PBMC_8k,GMM
7,3.0803709030151367,-8.443504929276104,187493.258575882,67.0,PBMC_8k,GMM
8,1.8948559761047363,-8.552899113517682,183494.69225233048,60.0,PBMC_8k,GMM
9,2.120100975036621,-8.510342519139735,185271.44473235984,63.0,PBMC_8k,GMM
0,0.47810983657836914,-9.721009822112643,167242.9225783066,64.0,PBMC_8k,nGMM
1,0.4756009578704834,-9.749047584219634,167687.2338148695,64.0,PBMC_8k,nGMM
2,0.47623300552368164,-9.737309160620608,167724.37832321285,65.0,PBMC_8k,nGMM
3,0.511469841003418,-9.726102128056768,167325.1309656989,64.0,PBMC_8k,nGMM
4,0.5160980224609375,-9.790378216486198,167441.11678066733,60.0,PBMC_8k,nGMM
5,0.41063928604125977,-9.85447361673597,167996.43592706084,58.0,PBMC_8k,nGMM
6,0.49051523208618164,-9.783789107146575,166886.08268799845,58.0,PBMC_8k,nGMM
7,0.5964858531951904,-9.726101110527079,167995.91832828856,67.0,PBMC_8k,nGMM
8,0.4071769714355469,-9.852173429322423,168402.72006131237,60.0,PBMC_8k,nGMM
9,0.33146119117736816,-9.779301694005651,167933.24796642642,63.0,PBMC_8k,nGMM
0,2.1575942039489746,-8.138739673093426,140179.62549337992,19.0,MALT_8k,CITE-sort
1,2.227728843688965,-8.922936855925352,154059.80240214276,23.0,MALT_8k,CITE-sort
2,2.343740940093994,-8.13794607903107,140166.27406687484,19.0,MALT_8k,CITE-sort
3,2.3254079818725586,-8.246200163057445,141815.82990033497,18.0,MALT_8k,CITE-sort
4,3.141963005065918,-8.915490803426332,155823.34965309518,34.0,MALT_8k,CITE-sort
5,2.9481611251831055,-8.030433983019996,140246.3102017805,30.0,MALT_8k,CITE-sort
6,2.876828908920288,-7.782560647041819,136247.80007348326,31.0,MALT_8k,CITE-sort
7,2.4367339611053467,-7.97465601269262,137934.21461939564,22.0,MALT_8k,CITE-sort
8,2.2418417930603027,-8.138935994492234,140182.92840459346,19.0,MALT_8k,CITE-sort
9,2.3312768936157227,-8.922909613328,154059.3440726849,23.0,MALT_8k,CITE-sort
0,0.46611690521240234,-7.6671368017252135,138414.1099555053,19.0,MALT_8k,GMM
1,0.4600691795349121,-7.592912384700842,139152.7301840142,23.0,MALT_8k,GMM
2,0.5721631050109863,-7.66235849156766,138333.79762451886,19.0,MALT_8k,GMM
3,0.38485026359558105,-7.6836761189961225,138194.63889813964,18.0,MALT_8k,GMM
4,0.8844120502471924,-7.415133148317597,141632.45732113929,34.0,MALT_8k,GMM
5,0.6158289909362793,-7.483651829160183,140793.14569936835,30.0,MALT_8k,GMM
6,0.626539945602417,-7.462304113577804,140930.3085264492,31.0,MALT_8k,GMM
7,0.5197019577026367,-7.625773664539795,139205.6743213384,22.0,MALT_8k,GMM
8,0.38326501846313477,-7.659503236269939,138283.92799364313,19.0,MALT_8k,GMM
9,0.5138049125671387,-7.591387664140254,139127.59931757045,23.0,MALT_8k,GMM
0,0.1121678352355957,-8.592168064831728,147799.10108325208,19.0,MALT_8k,nGMM
1,0.11516475677490234,-8.388677086350944,145058.16402031583,23.0,MALT_8k,nGMM
2,0.10192298889160156,-8.549684730617042,147081.83850916644,19.0,MALT_8k,nGMM
3,0.14873814582824707,-8.667081021205721,148885.22874656002,18.0,MALT_8k,nGMM
4,0.20810818672180176,-8.135204373051037,142682.1087272623,34.0,MALT_8k,nGMM
5,0.18267393112182617,-8.204251432404153,143159.43351469105,30.0,MALT_8k,nGMM
6,0.24073505401611328,-8.192342137051503,143129.25976990396,31.0,MALT_8k,nGMM
