,time,ll,bic,n_component,DB,method
4,4.971299886703491,-6.446390753865133,156900.2167027499,68.0,PBMC_8k,CITE-sort
5,4.68738579750061,-6.521551047051461,156449.91575215122,66.0,PBMC_8k,CITE-sort
6,4.696994066238403,-6.5400360083330655,157556.97037432066,67.0,PBMC_8k,CITE-sort
7,4.924194097518921,-6.41796427249102,156453.0681507351,68.0,PBMC_8k,CITE-sort
8,5.501037836074829,-5.71441369422992,152732.79318557627,77.0,PBMC_8k,CITE-sort
9,4.573446750640869,-6.546313666654377,156839.4317585051,66.0,PBMC_8k,CITE-sort
0,2.452871799468994,-8.438164332711427,188213.19368342296,68.0,PBMC_8k,GMM
1,2.481646776199341,-8.408244670975371,188562.3432336556,69.0,PBMC_8k,GMM
2,2.4254770278930664,-8.425269197382306,188829.66860220348,69.0,PBMC_8k,GMM
3,2.2687690258026123,-8.516921712531076,186190.13744548397,64.0,PBMC_8k,GMM
4,2.4142231941223145,-8.423963572877305,187992.5286425008,68.0,PBMC_8k,GMM
5,2.4891116619110107,-8.472690391977398,187127.93351873392,66.0,PBMC_8k,GMM
6,2.817267894744873,-8.452734470863497,187632.69180096796,67.0,PBMC_8k,GMM
7,2.1789538860321045,-8.454787895757315,188476.12509409327,68.0,PBMC_8k,GMM
8,2.621440887451172,-8.325179760310094,193786.62762067723,77.0,PBMC_8k,GMM
9,2.8781800270080566,-8.446774501013161,186722.26227093083,66.0,PBMC_8k,GMM
0,0.43262195587158203,-9.65678742518136,167133.7682424381,68.0,PBMC_8k,nGMM
1,0.4279301166534424,-9.664082093128723,167466.82285745992,69.0,PBMC_8k,nGMM
2,0.5662620067596436,-9.664073585728513,167475.68048906935,69.0,PBMC_8k,nGMM
3,0.4881327152252197,-9.728779479892161,167366.25292936395,64.0,PBMC_8k,nGMM
4,0.37183523178100586,-9.695972792450466,167745.48842498852,68.0,PBMC_8k,nGMM
5,0.3246877193450928,-9.717640334690314,167640.97924803954,66.0,PBMC_8k,nGMM
6,0.3578360080718994,-9.692053459770374,167460.0482029322,67.0,PBMC_8k,nGMM
7,0.5417490005493164,-9.656363639822144,167127.87730005436,68.0,PBMC_8k,nGMM
8,0.468184232711792,-9.57447404466968,167850.05727313482,77.0,PBMC_8k,nGMM
9,0.3371288776397705,-9.680468388884275,167059.67573926813,66.0,PBMC_8k,nGMM
0,2.4241321086883545,-6.461879788708171,120137.95753977002,23.0,MALT_8k,CITE-sort
1,2.472317934036255,-6.469601301991959,119770.80647973124,22.0,MALT_8k,CITE-sort
2,2.6662960052490234,-6.392868239746441,120965.13843813885,27.0,MALT_8k,CITE-sort
3,2.400151014328003,-6.875146878310774,129078.9942533452,27.0,MALT_8k,CITE-sort
4,2.471524238586426,-6.461960658211897,120139.3180883007,23.0,MALT_8k,CITE-sort
5,2.413289785385132,-6.928097227328886,128478.65752665016,24.0,MALT_8k,CITE-sort
6,2.572601079940796,-6.396962624654681,121034.02236983507,27.0,MALT_8k,CITE-sort
7,2.4453630447387695,-6.857828848154396,129781.75131304478,29.0,MALT_8k,CITE-sort
8,2.4264273643493652,-6.432067865198751,120630.51733769802,25.0,MALT_8k,CITE-sort
9,2.580191135406494,-6.180245928877178,116890.92288054913,26.0,MALT_8k,CITE-sort
0,0.7916312217712402,-7.5733742822893015,138830.43687258917,23.0,MALT_8k,GMM
1,0.4620349407196045,-7.620961426871539,139128.386457385,22.0,MALT_8k,GMM
2,0.5637567043304443,-7.513061564350352,139796.79255236703,27.0,MALT_8k,GMM
3,0.7792801856994629,-7.495331411753802,139500.56491482095,27.0,MALT_8k,GMM
4,0.6430320739746094,-7.606809230020523,139385.69294576487,23.0,MALT_8k,GMM
5,0.5811178684234619,-7.558761418649488,139072.82709241417,24.0,MALT_8k,GMM
6,0.5059757232666016,-7.509713681736872,139740.8039349963,27.0,MALT_8k,GMM
7,0.8608949184417725,-7.465963527022147,139999.32341265664,29.0,MALT_8k,GMM
8,0.47983527183532715,-7.536732209682566,139200.025794297,25.0,MALT_8k,GMM
9,0.677994966506958,-7.538792286731549,139728.35896189898,26.0,MALT_8k,GMM
0,0.14325523376464844,-8.388214875332125,145054.02586564902,23.0,MALT_8k,nGMM
1,0.17519116401672363,-8.416418878040503,145351.99308976828,22.0,MALT_8k,nGMM
2,0.1341571807861328,-8.332098384714984,144794.97302204653,27.0,MALT_8k,nGMM
3,0.17314600944519043,-8.280708076968548,143930.46104843976,27.0,MALT_8k,nGMM
4,0.15224695205688477,-8.404336760644817,145326.1152133652,23.0,MALT_8k,nGMM
5,0.12498688697814941,-8.361138604558358,144768.0299749365,24.0,MALT_8k,nGMM
6,0.1561110019683838,-8.283330320507796,143970.9216884222,27.0,MALT_8k,nGMM
7,0.1398000717163086,-8.25514860142787,143843.0658015172,29.0,MALT_8k,nGMM
8,0.1175081729888916,-8.374867440614503,145169.23478887198,25.0,MALT_8k,nGMM
9,0.20955324172973633,-8.3111056544382,144270.70650229516,26.0,MALT_8k,nGMM
0,1.5833871364593506,-3.919513431963239,74879.64173712343,18.0,CBMC_8k,CITE-sort
1,1.5685839653015137,-3.931301545064249,75082.79807830622,18.0,CBMC_8k,CITE-sort
2,1.7406930923461914,-3.7618776280127144,73386.24774899747,21.0,CBMC_8k,CITE-sort
3,1.5874481201171875,-3.925912843612369,74989.92919748454,18.0,CBMC_8k,CITE-sort
4,1.63087797164917,-3.903215512370876,75006.53054325444,19.0,CBMC_8k,CITE-sort
5,1.7103888988494873,-3.8702735972487146,75254.34388281069,21.0,CBMC_8k,CITE-sort
6,1.4840190410614014,-3.9371554798486907,74775.91763799552,17.0,CBMC_8k,CITE-sort
7,1.5850739479064941,-3.908120541955717,75091.06382311959,19.0,CBMC_8k,CITE-sort
8,1.441645860671997,-3.931343563763011,75083.5222285607,18.0,CBMC_8k,CITE-sort
9,1.5382959842681885,-3.932688568734865,75106.70204424563,18.0,CBMC_8k,CITE-sort
0,0.3776676654815674,-4.645293744347796,87374.8735614585,18.0,CBMC_8k,GMM
1,0.43041038513183594,-4.635588058108038,87209.30608116445,18.0,CBMC_8k,GMM
2,0.42351698875427246,-4.535376105193187,86710.29123445934,21.0,CBMC_8k,GMM
3,0.40677404403686523,-4.619650195847958,86936.70566622089,18.0,CBMC_8k,GMM
4,0.4390437602996826,-4.573374223551965,86540.58232416117,19.0,CBMC_8k,GMM
5,0.33440589904785156,-4.504476520258802,86171.12337944779,21.0,CBMC_8k,GMM
6,0.3982429504394531,-4.600247617602428,86193.17685786876,17.0,CBMC_8k,GMM
7,0.5639379024505615,-4.519731820263969,85625.9816159598,19.0,CBMC_8k,GMM
8,0.42975497245788574,-4.635610627481338,87208.48856031569,18.0,CBMC_8k,GMM
9,0.3296630382537842,-4.681246352493923,87996.98092958682,18.0,CBMC_8k,GMM
0,0.13054585456848145,-6.0634860919955225,107254.88370089428,18.0,CBMC_8k,nGMM
1,0.11309194564819336,-6.051646822327419,107046.21832424909,18.0,CBMC_8k,nGMM
2,0.11344599723815918,-5.989152132253573,106431.88521841567,21.0,CBMC_8k,nGMM
3,0.11068177223205566,-6.1375979311296085,108530.39928987606,18.0,CBMC_8k,nGMM
4,0.17274022102355957,-5.979296283737786,105953.77676080014,19.0,CBMC_8k,nGMM
5,0.13007712364196777,-5.997731473835821,106580.94095563744,21.0,CBMC_8k,nGMM
6,0.08965611457824707,-6.199086354739511,109433.15385132025,17.0,CBMC_8k,nGMM
7,0.15646934509277344,-6.118994616338503,108356.54408592555,19.0,CBMC_8k,nGMM
8,0.13138699531555176,-6.076944171932883,107485.88201896346,18.0,CBMC_8k,nGMM
9,0.10138487815856934,-6.113887728378639,108122.98460215003,18.0,CBMC_8k,nGMM
0,2.2695460319519043,-3.623972212166671,125234.37048111115,24.0,PBMC_16k,CITE-sort
1,2.2640860080718994,-3.675952817767073,126010.69135743506,22.0,PBMC_16k,CITE-sort
2,2.1994199752807617,-3.8018323381371757,130433.463177662,23.0,PBMC_16k,CITE-sort
3,2.0647919178009033,-4.407775641803095,148758.21440330538,21.0,PBMC_16k,CITE-sort
4,2.226551055908203,-3.882777516123145,133432.80489984434,24.0,PBMC_16k,CITE-sort
5,1.8370881080627441,-4.444344102963767,148175.9886201819,17.0,PBMC_16k,CITE-sort
6,2.107717275619507,-3.73121484499415,127761.2818559344,22.0,PBMC_16k,CITE-sort
7,2.198000907897949,-3.882385940989626,132550.0798348791,22.0,PBMC_16k,CITE-sort
8,2.198988199234009,-4.403432716440874,148620.63921368093,21.0,PBMC_16k,CITE-sort
9,2.224411964416504,-3.7769675123279263,128775.47447779097,21.0,PBMC_16k,CITE-sort
0,1.0075252056121826,-5.219640986255932,175755.31830882383,24.0,PBMC_16k,GMM
1,1.2031233310699463,-5.260690224689408,176190.5350520727,22.0,PBMC_16k,GMM
2,1.143347978591919,-5.23125750368259,175675.9753731755,23.0,PBMC_16k,GMM
3,0.6386978626251221,-5.2955009970938365,176863.04925257954,21.0,PBMC_16k,GMM
4,0.7805860042572021,-5.241280620565762,176437.7785188551,24.0,PBMC_16k,GMM
